date,open,high,close,low,volume,amount
2017-05-09,312.46,314.6,311.39,311.17,15004889.0,219035154.0
2017-05-08,310.96,315.25,314.6,308.17,30518466.0,444951849.0
2017-05-05,309.67,313.1,312.67,305.17,34412845.0,497651707.0
2017-05-04,310.32,312.24,311.6,307.53,19483076.0,282152580.0
2017-05-03,313.1,313.32,312.03,307.96,21089450.0,305398862.0
2017-05-02,316.96,316.96,313.32,312.24,20686711.0,303003040.0
2017-04-28,320.6,320.6,318.25,314.39,18458559.0,272985954.0
2017-04-27,314.17,318.67,318.03,313.1,22189737.0,327140506.0
2017-04-26,315.46,319.75,314.6,312.67,20624736.0,304150008.0
2017-04-25,317.17,320.39,315.46,315.25,21230301.0,315341501.0
2017-04-24,314.17,319.96,319.53,312.24,38717034.0,570264077.0
2017-04-21,308.39,315.24,315.03,307.74,30838504.0,449204275.0
2017-04-20,307.74,309.24,309.03,304.74,17753843.0,254263417.0
2017-04-19,306.67,308.82,307.96,305.39,19174708.0,275041429.0
2017-04-18,310.1,311.39,307.96,307.74,14259608.0,206045608.0
2017-04-17,308.6,311.82,311.17,304.31,30380043.0,436885631.0
2017-04-14,310.75,311.6,310.1,306.67,20479259.0,295322817.0
2017-04-13,311.82,312.89,310.53,310.1,14821949.0,215008970.0
2017-04-12,310.74,315.03,312.67,308.82,30391368.0,442904059.0
2017-04-11,309.46,311.39,310.1,304.74,28402582.0,408466792.0
2017-04-10,314.6,314.82,309.67,309.24,27514635.0,399613149.0
2017-04-07,314.82,315.89,314.39,312.89,18594269.0,272628909.0
2017-04-06,316.32,318.25,314.82,314.17,22448827.0,330636177.0
2017-04-05,313.32,317.17,316.75,311.39,26855478.0,394734636.0
2017-03-31,312.67,313.96,312.89,309.24,27621395.0,401263365.0
2017-03-30,312.89,315.67,313.75,311.82,24622339.0,360139363.0
2017-03-29,317.6,320.17,313.75,313.53,33403781.0,491359174.0
2017-03-28,321.25,321.25,318.67,317.82,20211743.0,301047669.0
2017-03-27,323.17,324.03,320.39,319.75,23108247.0,346400306.0
2017-03-24,320.82,324.67,322.75,319.75,26368615.0,396135043.0
2017-03-23,319.53,323.17,320.39,318.46,24860303.0,371972025.0
2017-03-22,324.89,325.53,319.1,317.82,38303542.0,573396946.0
2017-03-21,328.1,329.17,325.1,324.25,27211942.0,413912741.0
2017-03-20,331.32,332.6,328.75,326.17,32453611.0,498249148.0
2017-03-17,338.82,339.68,332.82,330.67,45557534.0,710096786.0
2017-03-16,335.39,341.18,338.39,335.39,43942507.0,693118319.0
2017-03-15,334.53,335.6,335.39,332.6,18543794.0,289164269.0
2017-03-14,333.67,334.75,334.53,332.82,12687804.0,197670355.0
2017-03-13,332.17,333.67,333.46,330.67,11673089.0,181066672.0
2017-03-10,333.25,334.96,332.17,331.96,16135084.0,250775492.0
2017-03-09,333.46,334.75,334.32,330.03,20028109.0,310526748.0
2017-03-08,334.53,336.03,334.1,333.03,12828863.0,200273924.0
2017-03-07,334.96,336.03,335.6,333.46,12157458.0,189863254.0
2017-03-06,333.03,335.6,334.96,331.53,17366583.0,270760139.0
2017-03-03,332.17,334.1,332.82,331.32,22881101.0,354848762.0
2017-03-02,335.18,337.53,332.82,332.6,36095941.0,564064971.0
2017-03-01,336.46,336.89,334.53,334.32,39443487.0,617879548.0
2017-02-28,336.89,339.25,335.82,335.18,23211858.0,365003122.0
2017-02-27,337.96,340.75,337.32,335.39,32636956.0,515356901.0
2017-02-24,336.89,341.18,338.82,336.89,22615274.0,357302607.0
2017-02-23,340.53,341.6,337.75,337.1,22336584.0,353170246.0
2017-02-22,340.75,342.46,340.53,339.25,22437342.0,356620613.0
2017-02-21,339.89,345.03,340.32,339.46,40813749.0,650917164.0
2017-02-20,338.18,339.89,339.46,334.53,44598143.0,701214195.0
2017-02-17,340.32,345.68,339.25,338.6,54736407.0,874828129.0
2017-02-16,340.75,341.39,339.25,338.18,30213642.0,478023758.0
2017-02-15,341.82,343.32,340.32,339.89,22073714.0,351663507.0
2017-02-14,344.6,344.6,341.39,340.75,25150686.0,401864323.0
2017-02-13,343.96,345.25,344.18,342.25,38111977.0,611943236.0
2017-02-10,343.32,345.25,343.75,341.39,27158180.0,435196363.0
2017-02-09,343.96,345.25,342.89,342.25,25099345.0,402721721.0
2017-02-08,342.89,346.1,343.96,339.03,24513574.0,392093564.0
2017-02-07,345.03,346.32,342.25,340.96,10916856.0,174929733.0
2017-02-06,345.89,348.68,345.03,343.75,13035955.0,210381333.0
