Date,Open,High,Low,Close,Volume,Adj Close
2016-10-18,24.48,25.06,24.47,24.97,18593809.0,24.97
2016-10-17,23.22,25.33,23.12,24.96,20955339.0,24.96
2016-10-14,23.18,23.26,22.98,23.21,5291463.0,23.21
2016-10-13,23.11,23.53,23.11,23.28,7589315.0,23.28
2016-10-12,23.14,23.31,23.07,23.13,5322149.0,23.13
2016-10-11,23.0,23.52,22.91,23.37,9820838.0,23.37
2016-10-10,22.51,23.25,22.47,23.2,12616778.0,23.2
2016-09-30,23.44,23.76,23.39,23.75,5317082.0,23.75
2016-09-29,23.56,23.59,23.32,23.36,4120411.0,23.36
2016-09-28,23.61,23.63,23.38,23.44,4444391.0,23.44
2016-09-27,23.62,23.89,23.57,23.84,5347925.0,23.84
2016-09-26,24.39,24.42,23.56,23.6,7563017.0,23.6
2016-09-23,25.15,25.31,24.32,24.36,8292297.0,24.36
2016-09-22,25.61,25.75,25.08,25.14,9132438.0,25.14
2016-09-21,25.01,25.28,24.62,25.25,9412072.0,25.25
2016-09-20,24.86,25.16,24.76,24.89,5318136.0,24.89
2016-09-19,24.3,25.11,24.16,24.97,7269732.0,24.97
2016-09-14,24.08,24.91,23.84,24.73,10385855.0,24.73
2016-09-13,24.56,24.91,24.4,24.5,7408923.0,24.5
2016-09-12,25.06,25.06,24.31,24.4,11476430.0,24.4
2016-09-09,26.17,26.25,25.77,25.82,11235187.0,25.82
2016-09-08,26.47,26.47,26.2,26.4,8093291.0,26.4
2016-09-07,27.02,27.16,26.63,26.69,14716017.0,26.69
2016-09-06,26.67,26.68,26.1,26.48,8726082.0,26.48
2016-09-05,26.96,26.97,26.49,26.66,10267661.0,26.66
2016-09-02,26.73,27.0,26.21,26.26,10878604.0,26.26
2016-09-01,26.69,27.13,26.57,26.59,12241924.0,26.59
2016-08-31,26.22,26.92,26.11,26.82,10441633.0,26.82
2016-08-30,26.52,26.66,26.37,26.45,5364553.0,26.45
2016-08-29,26.15,26.52,26.12,26.39,6713075.0,26.39
2016-08-26,26.5,26.76,26.44,26.54,6501915.0,26.54
2016-08-25,26.09,26.7,26.09,26.52,9522477.0,26.52
2016-08-24,26.93,27.33,26.93,26.96,8729034.0,26.96
2016-08-23,26.86,27.27,26.54,27.21,11981898.0,27.21
2016-08-22,27.07,27.07,26.78,26.88,9599701.0,26.88
2016-08-19,27.55,27.87,27.28,27.55,11333140.0,27.55
2016-08-18,27.98,28.55,27.78,27.91,19276722.0,27.91
2016-08-17,27.62,27.94,27.33,27.76,17141072.0,27.76
2016-08-16,27.18,28.35,27.08,28.12,29292279.0,28.12
2016-08-15,26.58,27.39,26.52,27.15,15968541.0,27.15
2016-08-12,26.65,26.91,26.47,26.85,9705621.0,26.85
2016-08-11,27.13,27.23,26.73,26.93,15868036.0,26.93
2016-08-10,27.03,27.89,26.9,27.7,25010136.0,27.7
2016-08-09,26.47,26.75,26.37,26.67,11133274.0,26.67
2016-08-08,27.04,27.23,26.28,26.53,24729572.0,26.53
2016-08-05,27.8,28.23,27.37,28.19,18750165.0,28.19
2016-08-04,27.57,27.86,27.29,27.65,18179522.0,27.65
2016-08-03,28.72,28.87,28.17,28.24,17838728.0,28.24
2016-08-02,27.87,28.32,27.39,28.1,17125494.0,28.1
2016-08-01,28.92,29.22,28.16,28.29,24286090.0,28.29
2016-07-29,28.76,29.53,28.17,28.18,24085435.0,28.18
2016-07-28,29.79,30.08,29.07,29.09,42771475.0,29.09
2016-07-27,28.47,29.62,26.77,29.39,43647530.0,29.39
2016-07-26,27.96,29.02,27.73,28.83,35365994.0,28.83
2016-07-25,27.75,27.99,27.17,27.44,21120388.0,27.44
2016-07-22,28.88,29.36,27.97,28.56,29462939.0,28.56
2016-07-21,28.24,28.63,27.88,28.24,24081296.0,28.24
2016-07-20,30.71,30.86,28.8,28.85,34929956.0,28.85
2016-07-19,29.88,30.73,29.45,30.54,28715208.0,30.54
2016-07-18,28.48,31.36,28.25,30.27,48542993.0,30.27
2016-07-15,27.07,29.88,26.58,28.82,44483641.0,28.82
2016-07-14,28.14,28.55,27.34,27.38,23571460.0,27.38
2016-07-13,27.06,28.39,26.82,28.35,28531712.0,28.35
2016-07-12,27.73,28.57,27.47,28.25,29506291.0,28.25
2016-07-11,27.87,29.95,27.87,28.53,54560688.0,28.53
2016-07-08,27.47,28.01,27.08,27.36,38140786.0,27.36
2016-07-07,27.07,29.47,26.46,28.26,71067546.0,28.26
2016-07-06,24.91,26.8,24.74,26.8,54286456.0,26.8
2016-07-05,24.07,24.51,23.59,24.36,25045144.0,24.36
2016-07-04,24.43,25.25,23.98,24.44,37997442.0,24.44
2016-07-01,23.52,24.51,23.39,23.87,28267612.0,23.87
2016-06-30,23.71,23.9,23.16,23.27,19535674.0,23.27
2016-06-29,23.74,24.62,23.64,24.03,28576672.0,24.03
2016-06-28,23.76,24.94,23.16,24.22,38942460.0,24.22
2016-06-27,23.73,24.56,23.36,23.73,44727178.0,23.73
2016-06-24,21.86,23.66,21.5,23.66,54580405.0,23.66
2016-06-23,21.55,21.73,21.16,21.5,10764135.0,21.5
2016-06-22,21.18,21.7,21.02,21.55,12142947.0,21.55
2016-06-21,22.03,22.19,21.32,21.48,18470687.0,21.48
2016-06-20,22.47,22.49,21.95,22.2,14738120.0,22.2
2016-06-17,22.43,22.93,22.37,22.45,27179038.0,22.45
2016-06-16,22.52,23.8,22.22,23.38,39293106.0,23.38
2016-06-15,21.4,22.58,20.97,22.29,29047803.0,22.29
2016-06-14,21.91,22.05,21.11,21.35,21195639.0,21.35
2016-06-13,21.37,22.62,21.16,22.01,35910362.0,22.01
2016-06-08,20.82,21.12,20.73,20.97,11452542.0,20.97
2016-06-07,21.09,21.1,20.7,20.75,12087682.0,20.75
2016-06-06,21.72,21.97,21.13,21.17,23427000.0,21.17
2016-06-03,20.56,20.7,20.25,20.56,13508137.0,20.56
2016-06-02,20.08,21.01,20.02,20.77,19204666.0,20.77
2016-06-01,20.2,20.28,20.02,20.23,12666406.0,20.23
2016-05-31,19.65,20.16,19.55,20.11,13136084.0,20.11
2016-05-30,19.65,19.7,19.28,19.47,6888910.0,19.47
2016-05-27,19.82,20.12,19.77,19.95,7108319.0,19.95
2016-05-26,19.94,20.17,19.7,20.05,8533333.0,20.05
2016-05-25,19.73,20.06,19.65,19.78,8039870.0,19.78
2016-05-24,20.1,20.15,19.72,19.98,7243887.0,19.98
2016-05-23,20.02,20.32,20.02,20.25,6143932.0,20.25
2016-05-20,19.96,20.12,19.71,20.04,8480628.0,20.04
2016-05-19,20.02,20.4,19.85,20.24,9447972.0,20.24
2016-05-18,21.4,21.54,20.04,20.46,12528050.0,20.46
2016-05-17,21.33,21.97,21.23,21.25,12658759.0,21.25
2016-05-16,20.68,21.86,20.52,21.6,14537427.0,21.6
2016-05-13,20.48,21.22,20.38,21.05,9466962.0,21.05
2016-05-12,20.82,20.98,20.22,20.66,7429097.0,20.66
2016-05-11,20.81,21.37,20.52,21.11,11678484.0,21.11
2016-05-10,20.36,20.82,20.3,20.66,9664988.0,20.66
2016-05-09,22.56,22.56,20.72,21.08,14855868.0,21.08
2016-05-06,23.37,23.7,22.55,22.62,16327129.0,22.62
2016-05-05,23.27,23.89,23.22,23.58,11877725.0,23.58
2016-05-04,23.48,23.89,23.3,23.44,14760242.0,23.44
2016-05-03,23.84,24.17,23.56,23.92,19285356.0,23.92
2016-04-29,23.13,23.52,23.02,23.07,19179620.0,23.07
2016-04-28,22.62,22.92,22.25,22.68,13243168.0,22.68
2016-04-27,22.76,23.2,22.52,23.03,15329157.0,23.03
2016-04-26,22.59,22.74,22.3,22.49,7347483.0,22.49
2016-04-25,22.23,22.69,22.09,22.38,9365811.0,22.38
2016-04-22,23.0,23.42,22.23,22.74,16997262.0,22.74
2016-04-21,22.65,24.22,22.41,23.72,25024265.0,23.72
2016-04-20,24.42,24.67,22.04,22.99,25588356.0,22.99
2016-04-19,23.34,23.9,23.1,23.86,15269100.0,23.86
2016-04-18,24.33,24.48,23.47,23.55,20105270.0,23.55
2016-04-15,23.97,24.47,23.75,24.3,20737914.0,24.3
2016-04-14,24.53,24.86,24.04,24.45,28388229.0,24.45
2016-04-13,24.77,25.71,24.56,25.29,37837850.0,25.29
2016-04-12,24.02,26.04,24.02,25.14,49135085.0,25.14
2016-04-11,23.72,24.93,23.32,24.0,39363006.0,24.0
2016-04-08,23.1,24.52,22.92,23.89,36549680.0,23.89
2016-04-07,22.82,23.25,22.63,22.89,14396453.0,22.89
2016-04-06,23.38,23.76,22.92,23.13,17396632.0,23.13
2016-04-05,23.02,23.3,22.43,23.27,17855120.0,23.27
2016-04-01,23.41,23.9,23.2,23.29,16612905.0,23.29
2016-03-31,22.78,23.64,22.72,23.57,21869624.0,23.57
2016-03-30,23.2,23.3,22.6,23.05,17620830.0,23.05
